Ticker	Name	Sector	Asset Class	Market Value	Weight (%)	Notional Value	Shares	Price	Location	Exchange	FX Rate	Market Currency	Accrual Date
KLAC	KLA CORP	Information Technology	Equity	"934,782,731.90"	0.21	"934,782,731.90"	"1,389,082.00"	672.95	United States	NASDAQ	1	USD	-
BMY	BRISTOL MYERS SQUIBB	Health Care	Equity	"934,248,684.60"	0.21	"934,248,684.60"	"20,900,418.00"	44.7	United States	New York Stock Exchange Inc.	1	USD	-
BX	BLACKSTONE INC	Financials	Equity	"911,511,604.32"	0.21	"911,511,604.32"	"7,389,037.00"	123.36	United States	New York Stock Exchange Inc.	1	USD	-
TMUS	T MOBILE US INC	Communication	Equity	"879,978,636.40"	0.2	"879,978,636.40"	"5,364,088.00"	164.05	United States	NASDAQ	1	USD	-
CMG	CHIPOTLE MEXICAN GRILL INC	Consumer Discretionary	Equity	"876,508,134.29"	0.2	"876,508,134.29"	"281,657.00"	"3,111.97"	United States	New York Stock Exchange Inc.	1	USD	-
CVS	CVS HEALTH CORP	Health Care	Equity	"870,335,117.97"	0.2	"870,335,117.97"	"12,926,409.00"	67.33	United States	New York Stock Exchange Inc.	1	USD	-
GILD	GILEAD SCIENCES INC	Health Care	Equity	"835,360,053.10"	0.19	"835,360,053.10"	"12,798,530.00"	65.27	United States	NASDAQ	1	USD	-
SO	SOUTHERN	Utilities	Equity	"833,130,296.85"	0.19	"833,130,296.85"	"11,202,505.00"	74.37	United States	New York Stock Exchange Inc.	1	USD	-
SNPS	SYNOPSYS INC	Information Technology	Equity	"830,494,711.06"	0.19	"830,494,711.06"	"1,566,646.00"	530.11	United States	NASDAQ	1	USD	-
AMT	AMERICAN TOWER REIT CORP	Real Estate	Equity	"827,895,859.70"	0.19	"827,895,859.70"	"4,788,293.00"	172.9	United States	New York Stock Exchange Inc.	1	USD	-
EOG	EOG RESOURCES INC	Energy	Equity	"810,800,308.80"	0.19	"810,800,308.80"	"5,989,955.00"	135.36	United States	New York Stock Exchange Inc.	1	USD	-
WM	WASTE MANAGEMENT INC	Industrials	Equity	"800,777,639.40"	0.18	"800,777,639.40"	"3,764,822.00"	212.7	United States	New York Stock Exchange Inc.	1	USD	-
MO	ALTRIA GROUP INC	Consumer Staples	Equity	"788,671,542.96"	0.18	"788,671,542.96"	"18,113,724.00"	43.54	United States	New York Stock Exchange Inc.	1	USD	-
